file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
P21_sent070,0.0,3.9980625,P21,-48.216958817525125,-58.32427251906622,1.573676790630044,21.810778191616134
P23_sent031,0.0,10.002,P23,-34.35315552980962,-67.52577176301375,1.5736750957837777,23.335168056782393
P21_sent080,0.0,3.9980625,P21,-51.29164376570352,-62.1102909897313,1.5717181366732174,19.297783945496473
P23_sent191,0.0,9.9990625,P23,-40.171616670841686,-58.466168374726266,1.5710868062307906,17.200054693238116
P24_sent010,0.0,5.0078125,P24,-52.87846787324649,-61.45274975425318,1.5684375856189623,22.443361161018707
P26_sent039,0.0,4.002,P26,-50.63039808417086,-60.53449903215681,1.568433074310094,18.049244144890046
P24_sent026,0.0,4.997125,P24,-54.209870732931726,-60.896665909711054,1.568433074310094,15.571949740330313
P24_sent070,0.0,4.9990625,P24,-53.32355594252008,-59.81288511856742,1.568433074310094,21.24918150364936
P29_sent137,0.0,4.6064375,P29,-52.26517395152506,-66.63499344719781,1.561395460307413,21.92201563619097
P24_sent124,0.0,5.001,P24,-54.65546953438755,-61.59759953147486,1.5428223419784726,24.296123345258884
P28_sent176,0.0,4.319375,P28,-53.4609011627907,-61.57997343275282,1.540912390836726,14.249679564002815
P27_sent169,0.0,4.13575,P27,-52.507736650485434,-68.64054257529122,1.540912390836726,15.649449320019398
P30_sent082,0.0,5.182625,P30,-39.724991672722865,-50.00005266401503,1.5306127583847615,13.823390561404805
P30_sent056,0.0,3.7109375,P30,-40.36848693682249,-51.533909896324424,1.5306127583847615,11.220038085401722
P29_sent019,0.0,6.0459375,P29,-50.737293350953564,-64.41828838147615,1.5306127583847615,20.743828884793317
P28_sent060,0.0,4.2305,P28,-51.75479234709026,-60.051653894884836,1.5306127583847615,22.30184512483102
P28_sent016,0.0,3.36525,P28,-50.022959421641794,-64.72727468739386,1.5306127583847615,24.166302369151666
P27_sent197,0.0,3.485375,P27,-46.734473500540346,-63.65716979082893,1.5306127583847615,21.119575707746534
P26_sent137,0.0,4.0039375,P26,-48.30211114164573,-57.35594820976257,1.5306127583847615,18.69937659663001
P25_sent155,0.0,4.0029375,P25,-46.004372448178394,-67.85554573752664,1.5306127583847615,24.10111487456081
P24_sent012,0.0,5.002,P24,-53.68609594628514,-63.86200558055531,1.5306127583847615,4.499046652064832
P21_sent088,0.0,3.9990625,P21,-51.67747428548995,-56.2917863946212,1.5306127583847615,20.846115506149264
P24_sent054,0.0,4.9970625,P24,-46.7935452748494,-61.53087656838553,1.530609847182188,28.992472109089473
P30_sent114,0.0,4.8066875,P30,-38.08456338074113,-53.206783294677734,1.52438219945083,14.606284118178635
P29_sent117,0.0,3.7578125,P29,-46.81052076370321,-63.427128735710596,1.5213151395891176,19.638464123960162
P29_sent099,0.0,6.3555,P29,-53.899219982255524,-63.824405520570046,1.5213116123403958,20.859518741784505
P26_sent071,0.0,4.0029375,P26,-68.84014309830403,-70.27810044722123,1.5213116123403958,3.0522810857426013
P28_sent114,0.0,2.590875,P28,-41.42787496960117,-55.56026758466448,1.5211041139092982,25.158459877371286
P28_sent066,0.0,3.7021875,P28,-46.31238854449728,-60.08145313262939,1.5208806270325848,23.85039278188873
P28_sent196,0.0,4.6533125,P28,-50.72609425620951,-60.09787368774414,1.520494840430856,23.845823913953037
P28_sent192,0.0,6.0869375,P28,-53.36922428439045,-63.26435690659743,1.5155632965697636,23.27698701486966
P29_sent045,0.0,4.380875,P29,-48.226145893061926,-59.863028822274046,1.5025881588352235,23.39995752609112
P23_sent109,0.0,9.9990625,P23,-44.22655858592184,-57.84666387240092,1.5025881588352235,21.357982707625588
P22_sent108,0.0,5.001,P22,-54.902755553463855,-57.46770532925924,1.5025881588352235,13.183251008761196
P22_sent136,0.0,5.0039375,P22,-51.162748650853416,-55.845400428771974,1.497814912812748,17.077740069846023
P30_sent002,0.0,6.92775,P30,-41.75754963368307,-49.73770345643509,1.4929211780358032,11.242264693576601
P21_sent074,0.0,4.002,P21,-47.069890467964825,-64.00879445569268,1.4922360767641945,22.134391326773518
P29_sent035,0.0,5.7265625,P29,-55.24659998905429,-65.4205123157036,1.4893533756556545,21.42563631024056
P30_sent096,0.0,4.6855625,P30,-40.22327522751606,-50.76094972765124,1.4813388780219299,12.562583699980493
P28_sent132,0.0,4.9199375,P28,-51.63615672831633,-62.84015779717024,1.4813388780219299,22.79469704538922
P21_sent050,0.0,4.005875,P21,-54.579226386278194,-62.291343688964844,1.4813388780219299,10.466895873112456
P24_sent104,0.0,5.0098125,P24,-46.21192384769539,-61.3099562701057,1.4810408109104796,29.113402399154158
P30_sent014,0.0,5.6396875,P30,-38.02652705182384,-50.55512316086713,1.4785226760662253,13.29078435732158
P28_sent172,0.0,4.079125,P28,-50.30069465825123,-64.21678507328033,1.4785177955302362,23.486955286216176
P30_sent148,0.0,8.1181875,P30,-36.96160542052469,-48.54627067164371,1.4785161686849067,12.291739568734537
P21_sent078,0.0,4.0029375,P21,-50.56720124057789,-59.337702655792235,1.4777259591241727,20.070789015328664
P22_sent046,0.0,5.001,P22,-50.09733465110442,-53.79776842166216,1.463870214971462,15.242362868034116
P28_sent004,0.0,5.4619375,P28,-55.37599092371323,-64.99737980491237,1.4539765345737727,22.68045441179696
P27_sent143,0.0,4.4706875,P27,-53.5357575491573,-66.18376507966414,1.453973052742625,5.991920829454843
P22_sent140,0.0,4.9980625,P22,-51.93820594879518,-55.62568299313809,1.453973052742625,20.169858935567625
P21_sent114,0.0,4.001,P21,-51.60720104428392,-60.4712965965271,1.453973052742625,22.533996897766187
P29_sent195,0.0,6.0713125,P29,-51.76200284090909,-67.33154637104757,1.4539695709114768,24.697240561241173
P30_sent186,0.0,5.2070625,P30,-42.38481831045279,-52.935404658317566,1.453016966526096,11.527418481184972
P26_sent197,0.0,4.004875,P26,-56.87016626099246,-60.7802860683865,1.4530133239714675,18.934337153431255
P21_sent012,0.0,3.9990625,P21,-53.96315071451005,-62.491108827812724,1.4530133239714675,17.681805816835524
P21_sent142,0.0,4.0039375,P21,-47.39248488536432,-62.43742883205414,1.4530115026941535,21.43861207766629
P25_sent079,0.0,4.0029375,P25,-54.55778403737437,-66.16493524087441,1.448685621193765,20.395172055821735
P24_sent064,0.0,5.0098125,P24,-44.728370804108216,-62.22863974938026,1.448685621193765,27.578715554366248
P29_sent053,0.0,3.8555,P29,-47.658304850260414,-63.548486117658946,1.4478799588160836,20.98165905771585
P28_sent150,0.0,4.0546875,P28,-50.30903477822581,-60.23749040302477,1.4478799588160836,25.079603026528307
P27_sent147,0.0,5.13575,P27,-49.26458740234375,-65.85354692508012,1.4478799588160836,25.02350793557663
P25_sent125,0.0,4.005875,P25,-47.52124941259399,-65.3729046269467,1.4478799588160836,26.830685646511235
P25_sent191,0.0,4.002,P25,-44.5376295540201,-61.985626983642575,1.4478799588160836,19.98675009807168
P21_sent072,0.0,4.0029375,P21,-52.40862024968593,-63.553199332101,1.4478799588160836,17.921408002040597
P21_sent026,0.0,4.0039375,P21,-51.495931807474875,-58.83287105560303,1.4478799588160836,20.683017177761364
P21_sent056,0.0,4.002,P21,-56.5181620995603,-62.743006450373954,1.4478780961636848,14.181574907319455
P28_sent024,0.0,5.3115625,P28,-49.63895616729678,-62.940040387605364,1.4478762335112862,25.14185782221543
P27_sent151,0.0,5.903375,P27,-50.61617439944728,-65.41825822342274,1.4478762335112862,21.01847049838543
P28_sent030,0.0,3.797875,P28,-50.95348152281746,-65.29978073120117,1.4343478043390472,22.497098850042597
P29_sent059,0.0,3.11625,P29,-46.60591607862903,-67.32531715841854,1.4331598837856314,24.05962776509982
P22_sent194,0.0,5.0039375,P22,-42.404438064759034,-54.87531751744888,1.4331598837856314,19.307824086291895
P28_sent058,0.0,4.390625,P28,-49.23327105978261,-62.29840159416199,1.4331568264083212,20.405453178331783
P22_sent016,0.0,5.002,P22,-49.94182981927711,-58.89371236165365,1.4315029167329356,13.71663789456305
P27_sent129,0.0,3.912125,P27,-52.522905285989715,-71.17571105957032,1.4315012218866694,23.663015960369297
P27_sent117,0.0,4.693375,P27,-49.67840772216274,-62.9350135591295,1.4201237017037465,21.28849991689755
P28_sent000,0.0,9.348625,P28,-46.96378449892819,-66.17862571158061,1.4201165030434764,20.248909946219495
P28_sent198,0.0,4.751,P28,-50.324995044926006,-65.71090761820476,1.4201165030434764,24.299895544471504
P28_sent074,0.0,4.3994375,P28,-49.45506474743151,-62.645677117740405,1.41964680103613,26.003411414938373
P28_sent174,0.0,3.7588125,P28,-50.5486401236631,-62.03226216634115,1.41964680103613,24.137005040653438
P25_sent153,0.0,4.0019375,P25,-46.959170854271356,-64.22246689266629,1.41964680103613,25.738230865672314
P28_sent096,0.0,3.0341875,P28,-50.09673808658638,-63.480633785850124,1.4196445391758836,24.804536554549287
P27_sent155,0.0,3.6709375,P27,-42.892963398972604,-57.944001007080075,1.4196445391758836,23.098035634300068
P28_sent146,0.0,5.006875,P28,-52.063490261773545,-64.15112793963888,1.4196422773156372,24.34395203134237
P28_sent120,0.0,4.422875,P28,-51.62715731534091,-64.59984217749701,1.4085081888399302,23.625261432700114
P28_sent156,0.0,4.392625,P28,-55.89107640875286,-68.32118957921078,1.4085081888399302,22.425258876795876
P30_sent100,0.0,4.51075,P30,-40.86585206709354,-52.40983288787132,1.4085052776373568,13.525416026442748
P22_sent090,0.0,5.002,P22,-53.527994791666664,-58.027942996554906,1.4085052776373568,16.229969602349975
P22_sent072,0.0,5.002,P22,-55.894578313253014,-59.44230277721699,1.4085052776373568,10.77687932630149
P29_sent129,0.0,4.1348125,P29,-57.79705558090024,-66.03407992738666,1.394624756823926,16.387737880947284
P28_sent056,0.0,3.8135,P28,-46.845105334762536,-60.119977951049805,1.391313654874961,24.374394305112936
P22_sent066,0.0,5.0039375,P22,-46.123341020331324,-55.26662120112666,1.391313654874961,17.017972169710163
P30_sent102,0.0,5.4716875,P30,-40.18982583142202,-50.66664457321167,1.3792152464488088,10.824943685298196
P30_sent058,0.0,5.2626875,P30,-38.34344808563932,-48.58415480221019,1.3792107351399405,12.759920705692295
P24_sent096,0.0,5.0029375,P24,-49.343491152108435,-59.24258255958557,1.3792107351399405,24.706302355593763
P27_sent165,0.0,4.109375,P27,-48.11563550580684,-65.17509432192202,1.3648246890651285,24.992978685020844
P29_sent105,0.0,5.526375,P29,-47.76097082009982,-62.05830979347229,1.3646320305693904,22.63373754437805
